

DATE:	06/11/2017	TIME:	11:10:28
Initialising game took 10.26 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
	20.40		UP    to GRASS   and FROG GONE 96.67%			48.81		20.49		EAGLE GOT A FROG
	24.05		UP    to GRASS   and ALIVE     93.33%			41.58		24.05		
	19.78		UP    to GRASS   and ALIVE     90.00%			50.55		19.78		
	14.13		RIGHT to GRASS   and ALIVE     86.67%			70.73		14.14		
	16.20		RIGHT to GRASS   and ALIVE     83.33%			61.71		16.20		
	18.15		RIGHT to GRASS   and ALIVE     80.00%			55.08		18.16		
	15.87		RIGHT to GRASS   and ALIVE     76.67%			62.99		15.87		
	26.02		RIGHT to LETTUCE and ALIVE     90.00%			38.40		26.04		LETTUCE EATEN
	15.08		RIGHT to GRASS   and ALIVE     86.67%			66.30		15.08		
	19.48		RIGHT to GRASS   and ALIVE     83.33%			51.33		19.48		
	15.42		RIGHT to GRASS   and ALIVE     80.00%			64.82		15.43		
	19.05		UP    to GRASS   and ALIVE     76.67%			52.49		19.05		
	19.68		RIGHT to WORM    and ALIVE     100.00%			50.74		19.71		WORM EATEN
	23.90		DOWN  to GRASS   and FROG GONE 96.67%			41.79		23.93		EAGLE GOT A FROG
	32.24		RIGHT to WORM    and ALIVE     100.00%			30.98		32.28		WORM EATEN
	13.81		RIGHT to GRASS   and ALIVE     96.67%			72.39		13.81		
	17.51		RIGHT to GRASS   and ALIVE     93.33%			57.11		17.51		
	36.78		DOWN  to GRASS   and ALIVE     90.00%			27.18		36.79		
	19.03		DOWN  to GRASS   and ALIVE     86.67%			52.53		19.03		
	13.79		DOWN  to GRASS   and ALIVE     83.33%			72.52		13.79		
	13.19		RIGHT to GRASS   and ALIVE     80.00%			75.78		13.20		
	19.22		RIGHT to LETTUCE and ALIVE     93.33%			51.69		19.35		LETTUCE EATEN
	16.27		DOWN  to GRASS   and ALIVE     90.00%			61.46		16.27		
	17.06		DOWN  to GRASS   and ALIVE     86.67%			58.62		17.06		
	14.28		DOWN  to GRASS   and ALIVE     83.33%			70.00		14.29		
	20.32		DOWN  to GRASS   and ALIVE     80.00%			49.21		20.32		
	14.51		RIGHT to GRASS   and ALIVE     76.67%			68.93		14.51		
	15.06		DOWN  to GRASS   and ALIVE     73.33%			66.34		15.07		
	45.51		RIGHT to GRASS   and ALIVE     70.00%			21.97		45.52		
	35.29		RIGHT to WORM    and ALIVE     100.00%			28.17		35.50		WORM EATEN
	18.64		RIGHT to GRASS   and ALIVE     96.67%			53.61		18.65		
	96.68		RIGHT to GRASS   and ALIVE     93.33%			10.34		96.69		
	102.56		RIGHT to GRASS   and ALIVE     90.00%			9.75		102.57		
	20.07		UP    to GRASS   and ALIVE     86.67%			49.81		20.08		
	56.88		UP    to GRASS   and ALIVE     83.33%			17.58		56.89		
	42.40		RIGHT to GRASS   and ALIVE     80.00%			23.58		42.41		
	66.19		RIGHT to GRASS   and ALIVE     76.67%			15.11		66.20		
	44.16		RIGHT to LETTUCE and ALIVE     90.00%			22.54		44.36		LETTUCE EATEN
	26.76		DOWN  to GRASS   and ALIVE     86.67%			37.36		26.77		
	19.67		DOWN  to GRASS   and ALIVE     83.33%			50.83		19.68		
	38.89		DOWN  to GRASS   and ALIVE     80.00%			25.71		38.90		
	23.29		DOWN  to GRASS   and ALIVE     76.67%			42.92		23.30		
	30.48		DOWN  to GRASS   and ALIVE     73.33%			32.81		30.48		
	74.68		DOWN  to GRASS   and ALIVE     70.00%			13.39		74.69		
	15.93		DOWN  to GRASS   and ALIVE     66.67%			62.76		15.93		
	46.16		DOWN  to GRASS   and ALIVE     63.33%			21.66		46.17		
	26.32		LEFT  to GRASS   and ALIVE     60.00%			37.99		26.32		
	42.11		LEFT  to GRASS   and ALIVE     56.67%			23.75		42.11		
	109.63		LEFT  to GRASS   and ALIVE     53.33%			9.12		109.64		
	93.08		LEFT  to GRASS   and ALIVE     50.00%			10.74		93.09		
	67.44		LEFT  to WORM    and ALIVE     96.67%			14.79		67.64		WORM EATEN
	43.14		LEFT  to GRASS   and ALIVE     93.33%			23.17		43.15		
	69.48		LEFT  to GRASS   and ALIVE     90.00%			14.39		69.49		
	58.49		LEFT  to GRASS   and ALIVE     86.67%			17.09		58.50		
	79.84		LEFT  to LETTUCE and ALIVE     100.00%			12.49		80.03		LETTUCE EATEN
	75.84		LEFT  to GRASS   and ALIVE     96.67%			13.18		75.85		
	56.54		LEFT  to GRASS   and ALIVE     93.33%			17.68		56.55		
	73.21		LEFT  to GRASS   and ALIVE     90.00%			13.66		73.22		
	92.03		LEFT  to GRASS   and ALIVE     86.67%			10.87		92.03		
	96.06		LEFT  to GRASS   and ALIVE     83.33%			10.41		96.07		
	43.51		LEFT  to LETTUCE and ALIVE     96.67%			22.87		43.73		LETTUCE EATEN
	44.38		UP    to GRASS   and ALIVE     93.33%			22.53		44.39		
	57.99		LEFT  to GRASS   and ALIVE     90.00%			17.24		58.00		
	73.88		LEFT  to GRASS   and ALIVE     86.67%			13.53		73.89		
	55.45		LEFT  to WORM    and ALIVE     100.00%			17.97		55.65		WORM EATEN
	23.83		LEFT  to GRASS   and ALIVE     96.67%			41.96		23.83		
	32.05		LEFT  to GRASS   and ALIVE     93.33%			31.19		32.06		
	88.51		LEFT  to GRASS   and ALIVE     90.00%			11.30		88.52		
	67.03		LEFT  to LETTUCE and WON GAME  100.00%			14.84		67.38		LAST LETTUCE EATEN

DATE:	06/11/2017	TIME:	11:10:51
Initialising game took 11.97 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
	90.03		DOWN  to GRASS   and ALIVE     96.67%			11.11		90.05		READY TO SLITHER!? PRESS A KEY...
	84.70		LEFT  to GRASS   and ALIVE     93.33%			11.80		84.71		
	85.82		LEFT  to GRASS   and ALIVE     90.00%			11.65		85.83		
	62.32		UP    to GRASS   and ALIVE     86.67%			16.04		62.33		
	52.16		LEFT  to PELLET  and ALIVE     75.00%			19.10		52.37		PELLET ALERT!
	39.06		LEFT  to GRASS   and ALIVE     71.67%			25.59		39.07		
	60.44		LEFT  to GRASS   and ALIVE     68.33%			16.54		60.45		
	47.33		LEFT  to GRASS   and ALIVE     65.00%			21.12		47.34		
	64.37		LEFT  to GRASS   and ALIVE     61.67%			15.53		64.38		
	73.21		LEFT  to GRASS   and ALIVE     58.33%			13.66		73.22		
	77.41		LEFT  to GRASS   and ALIVE     55.00%			12.92		77.42		
	28.98		LEFT  to GRASS   and ALIVE     51.67%			34.51		28.98		
	48.16		LEFT  to PELLET  and ALIVE     43.50%			20.68		48.36		PELLET ALERT!
	47.69		LEFT  to GRASS   and ALIVE     40.17%			20.96		47.70		
	55.69		UP    to PELLET  and ALIVE     33.15%			17.90		55.86		PELLET ALERT!
	78.64		UP    to GRASS   and ALIVE     29.82%			12.71		78.66		
